prompt_len,cache,pilot,moe_group,expert_gets,hit,miss,hit_pct,tok_s,wall_s,peak_rss_gb,nll,error
128,4,0,0,18304,837,17467,4.6,2.36,7.28,2.2,12.8354,
128,4,0,1,2726,5,2721,0.2,5.2,3.45,2.2,12.8354,
128,4,1,0,18304,1055,17249,5.8,2.98,5.73,2.2,12.8354,
128,4,1,1,2726,194,2532,7.1,5.03,3.55,2.2,12.8354,
128,4,2,0,18304,1069,17235,5.8,2.99,5.73,2.2,12.8354,
128,4,2,1,2726,189,2537,6.9,5.13,3.5,2.2,12.8354,
128,4,3,0,18304,1073,17231,5.9,2.93,5.83,2.2,12.8354,
128,4,3,1,2726,181,2545,6.6,5.11,3.49,2.2,12.8354,
128,8,0,0,18304,6025,12279,32.9,3.26,5.31,2.57,12.8354,
128,8,0,1,2726,489,2237,17.9,5.0,3.57,2.58,12.8354,
128,8,1,0,18304,6105,12199,33.4,3.25,5.3,2.57,12.8354,
128,8,1,1,2726,602,2124,22.1,4.98,3.59,2.58,12.8354,
128,8,2,0,18304,6101,12203,33.3,3.24,5.32,2.57,12.8354,
128,8,2,1,2726,611,2115,22.4,4.84,3.69,2.58,12.8354,
128,8,3,0,18304,6106,12198,33.4,3.12,5.51,2.57,12.8354,
128,8,3,1,2726,591,2135,21.7,4.98,3.59,2.58,12.8354,
128,16,0,0,18304,11749,6555,64.2,3.48,4.99,3.32,12.8354,
128,16,0,1,2726,1050,1676,38.5,4.86,3.68,3.33,12.8354,
128,16,1,0,18304,11845,6459,64.7,3.52,4.95,3.32,12.8354,
128,16,1,1,2726,1192,1534,43.7,4.95,3.62,3.33,12.8354,
128,16,2,0,18304,11843,6461,64.7,3.41,5.09,3.32,12.8354,
128,16,2,1,2726,1202,1524,44.1,5.04,3.57,3.33,12.8354,
128,16,3,0,18304,11867,6437,64.8,3.42,5.08,3.32,12.8354,
128,16,3,1,2726,1223,1503,44.9,4.92,3.65,3.33,12.8354,
128,32,0,0,18304,15974,2330,87.3,4.32,4.12,4.83,12.8354,
128,32,0,1,2726,1548,1178,56.8,4.97,3.64,4.83,12.8354,
128,32,1,0,18304,15997,2307,87.4,4.29,4.17,4.83,12.8354,
128,32,1,1,2726,1624,1102,59.6,4.99,3.64,4.83,12.8354,
128,32,2,0,18304,15997,2307,87.4,4.28,4.15,4.83,12.8354,
128,32,2,1,2726,1646,1080,60.4,5.02,3.61,4.83,12.8354,
128,32,3,0,18304,15998,2306,87.4,4.21,4.24,4.83,12.8354,
128,32,3,1,2726,1663,1063,61.0,4.92,3.67,4.83,12.8354,
128,64,0,0,18304,17483,821,95.5,4.68,3.86,6.64,12.8354,
128,64,0,1,2726,1905,821,69.9,4.84,3.75,6.65,12.8354,
128,64,1,0,18304,17485,819,95.5,4.66,3.87,6.68,12.8354,
128,64,1,1,2726,1908,818,70.0,4.85,3.75,6.68,12.8354,
128,64,2,0,18304,17492,812,95.6,4.51,3.99,6.72,12.8354,
128,64,2,1,2726,1916,810,70.3,4.86,3.74,6.71,12.8354,
128,64,3,0,18304,17491,813,95.6,4.55,3.96,6.77,12.8354,
128,64,3,1,2726,1917,809,70.3,4.85,3.74,6.76,12.8354,
512,4,0,0,67456,3100,64356,4.6,0.87,18.75,2.3,11.8422,
512,4,0,1,5045,0,5045,0.0,1.76,9.46,2.31,11.8422,
512,4,1,0,67456,3348,64108,5.0,0.88,18.56,2.3,11.8422,
512,4,1,1,5045,232,4813,4.6,1.75,9.52,2.31,11.8422,
512,4,2,0,67456,3361,64095,5.0,0.88,18.61,2.3,11.8422,
512,4,2,1,5045,236,4809,4.7,1.74,9.57,2.31,11.8422,
512,4,3,0,67456,3368,64088,5.0,0.87,18.7,2.3,11.8422,
512,4,3,1,5045,226,4819,4.5,1.75,9.55,2.31,11.8422,
512,8,0,0,67456,22892,44564,33.9,0.97,16.83,2.68,11.8422,
512,8,0,1,5045,651,4394,12.9,1.72,9.7,2.68,11.8422,
512,8,1,0,67456,22940,44516,34.0,0.99,16.52,2.68,11.8422,
512,8,1,1,5045,731,4314,14.5,1.74,9.61,2.68,11.8422,
512,8,2,0,67456,22937,44519,34.0,0.98,16.67,2.68,11.8422,
512,8,2,1,5045,721,4324,14.3,1.73,9.68,2.68,11.8422,
512,8,3,0,67456,22940,44516,34.0,0.98,16.69,2.68,11.8422,
512,8,3,1,5045,707,4338,14.0,1.74,9.6,2.68,11.8422,
512,16,0,0,67456,45449,22007,67.4,1.09,15.11,3.43,11.8422,
512,16,0,1,5045,1281,3764,25.4,1.69,9.9,3.43,11.8422,
512,16,1,0,67456,45512,21944,67.5,1.1,14.92,3.43,11.8422,
512,16,1,1,5045,1403,3642,27.8,1.69,9.87,3.43,11.8422,
512,16,2,0,67456,45531,21925,67.5,1.1,14.91,3.43,11.8422,
